Alpha,SNP_A,SNP_B,SNP_C,SNP_D
0.518283,N4,N29,M0P1,M0P2
0.518278,N4,M0P1,M0P2,M2Q3
0.518267,N5,M0P1,M0P2,M1T2
0.518159,N4,N9,M0P1,M0P2
0.518158,N0,N27,M0P1,M0P2
0.518106,N1,N28,M0P1,M0P2
0.518078,N5,M0P1,M0P2,M2Q2
0.518058,N5,N26,M0P1,M0P2
0.518033,N3,N25,M0P1,M0P2
0.518008,N3,N14,M0P1,M0P2
0.518007,N2,N21,M0P1,M0P2
0.517996,N2,N23,M0P1,M0P2
0.517942,N5,N29,M0P1,M0P2
0.517928,N4,N12,M0P1,M0P2
0.517900,N4,M0P1,M0P2,M2Q1
0.517869,N5,N36,M0P1,M0P2
0.517869,N4,N6,M0P1,M0P2
0.517854,N3,N23,M0P1,M0P2
0.517839,N1,N22,M0P1,M0P2
0.517821,N4,N26,M0P1,M0P2
0.517792,N1,N31,M0P1,M0P2
0.517782,N1,N37,M0P1,M0P2
0.517763,N4,N40,M0P1,M0P2
0.517756,N5,N28,M0P1,M0P2
0.517743,N3,N35,M0P1,M0P2
0.517659,N1,N38,M0P1,M0P2
0.517631,N4,M0P1,M0P2,M1T1
0.517609,N5,N18,M0P1,M0P2
0.517595,N5,N24,M0P1,M0P2
0.517579,N1,M0P1,M0P2,M2Q2
0.517571,N4,N7,M0P1,M0P2
0.517537,N5,N17,M0P1,M0P2
0.517482,N1,M0P1,M0P2,M1T2
0.517456,N5,N15,M0P1,M0P2
0.517437,N0,N21,M0P1,M0P2
0.517434,N0,N23,M0P1,M0P2
0.517422,N5,N6,M0P1,M0P2
0.517420,N5,M0P1,M0P2,M2Q1
0.517400,N5,M0P1,M0P2,M1T3
0.517399,N4,N34,M0P1,M0P2
0.517386,N4,N13,M0P1,M0P2
0.517383,N5,N30,M0P1,M0P2
0.517365,N4,N39,M0P1,M0P2
0.517355,N5,N39,M0P1,M0P2
0.517354,N0,N5,M0P1,M0P2
0.517350,N4,N37,M0P1,M0P2
0.517334,N5,N37,M0P1,M0P2
0.517319,N4,N30,M0P1,M0P2
0.517293,N5,N34,M0P1,M0P2
0.517253,N4,N25,M0P1,M0P2
0.517185,N4,M0P1,M0P2,M2Q4
0.517181,N4,N17,M0P1,M0P2
0.517168,N5,N31,M0P1,M0P2
0.517164,N4,N32,M0P1,M0P2
0.517136,N5,N9,M0P1,M0P2
0.517111,N5,N32,M0P1,M0P2
0.517103,N1,N26,M0P1,M0P2
0.517024,N3,N5,M0P1,M0P2
0.517018,N1,N8,M0P1,M0P2
0.517017,N1,N36,M0P1,M0P2
0.516990,N1,N2,M0P1,M0P2
0.516968,N1,N29,M0P1,M0P2
0.516960,N4,N16,M0P1,M0P2
0.516952,N5,N10,M0P1,M0P2
0.516886,N1,N20,M0P1,M0P2
0.516872,N5,N19,M0P1,M0P2
0.516857,N3,N21,M0P1,M0P2
0.516845,N4,N10,M0P1,M0P2
0.516787,N5,N7,M0P1,M0P2
0.516781,N4,N8,M0P1,M0P2
0.516760,N5,M0P1,M0P2,M1T1
0.516754,N4,N11,M0P1,M0P2
0.516713,N5,N33,M0P1,M0P2
0.516708,N5,N20,M0P1,M0P2
0.516704,N1,M0P1,M0P2,M2Q1
0.516660,N1,N24,M0P1,M0P2
0.516657,N2,N31,M2Q3,M2Q4
0.516652,N4,N27,M0P1,M0P2
0.516612,N0,N1,M0P1,M0P2
0.516583,N5,N16,M0P1,M0P2
0.516582,N5,N8,M0P1,M0P2
0.516568,N1,M0P1,M0P2,M2Q3
0.516534,N5,N25,M0P1,M0P2
0.516519,N1,N18,M0P1,M0P2
0.516505,N1,N19,M0P1,M0P2
0.516503,N5,M0P1,M0P2,M2Q4
0.516461,N4,N14,M0P1,M0P2
0.516436,N1,N34,M0P1,M0P2
0.516401,N1,M0P1,M0P2,M2Q4
0.516362,N5,N11,M0P1,M0P2
0.516355,N5,N40,M0P1,M0P2
0.516300,N4,N21,M0P1,M0P2
0.516208,N1,N4,M0P1,M0P2
0.516205,N4,N23,M0P1,M0P2
0.516202,N5,N35,M0P1,M0P2
0.516161,N1,N15,M0P1,M0P2
0.516154,N1,N10,M0P1,M0P2
0.516113,N1,N39,M0P1,M0P2
0.516109,N1,N6,M0P1,M0P2
0.516095,N4,N5,M0P1,M0P2
0.516083,N5,N27,M0P1,M0P2
0.515952,N1,M0P1,M0P2,M1T1
0.515936,N1,M0P1,M0P2,M1T3
0.515890,N1,N35,M0P1,M0P2
0.515867,N1,N32,M0P1,M0P2
