Alpha,SNP_A,SNP_B,SNP_C,SNP_D
0.508208,N3,N8,N22,M1T2
0.508208,N3,N6,N28,N39
0.508208,N2,N3,N18,M0P1
0.508208,N2,N29,N34,N37
0.508208,N2,N16,N28,M0P2
0.508208,N2,N15,M0P1,M2Q1
0.508208,N0,N8,N28,M1T3
0.508208,N0,N26,N40,M2Q1
0.508208,N0,N10,N36,N40
0.508207,N5,N10,N12,N33
0.508207,N3,N7,N10,M2Q1
0.508207,N3,N10,N19,N34
0.508207,N3,N10,N13,N28
0.508207,N2,N6,N12,N38
0.508207,N0,N37,N38,N40
0.508206,N5,N30,N36,M1T2
0.508206,N5,N26,M1T3,M2Q2
0.508206,N4,N33,N37,M0P2
0.508206,N4,N15,N33,M0P2
0.508206,N3,N6,N10,N11
0.508206,N3,N4,M0P1,M2Q3
0.508206,N3,N16,N29,N39
0.508206,N3,N10,N36,N38
0.508206,N2,N8,N11,N34
0.508206,N2,N24,N40,M2Q1
0.508206,N2,N18,N34,N40
0.508206,N2,N16,M1T3,M2Q4
0.508206,N0,N4,N18,N31
0.508206,N0,N2,N20,N31
0.508206,N0,N17,N30,M2Q1
0.508206,N0,N12,N29,M1T3
0.508206,N0,N12,N19,M2Q4
0.508206,N0,N11,N39,M2Q3
0.508206,N0,N11,N34,M0P1
0.508205,N5,N20,N29,N40
0.508205,N2,N9,N11,N40
0.508205,N1,N2,N37,M1T3
0.508205,N0,N2,N28,N40
0.508205,N0,N16,N36,M1T1
0.508205,N0,N14,N37,N39
0.508205,N0,N11,N12,M2Q2
0.508204,N5,N26,M0P2,M1T3
0.508204,N3,N9,N12,N15
0.508204,N2,N12,N32,M0P1
0.508204,N0,N8,N18,N19
0.508204,N0,N7,N9,N18
0.508204,N0,N20,N26,M2Q1
0.508204,N0,N12,M0P2,M2Q1
0.508203,N4,N33,N39,M0P2
0.508203,N3,N11,N26,M2Q1
0.508203,N2,N27,N28,N36
0.508203,N0,N7,N9,M1T2
0.508203,N0,N7,N22,N23
0.508203,N0,N38,N39,M2Q4
0.508203,N0,N16,N38,M2Q3
0.508203,N0,N12,N18,M1T2
0.508202,N5,N26,N30,M2Q3
0.508202,N5,M0P2,M1T2,M2Q2
0.508202,N4,N18,N20,M2Q2
0.508202,N3,N7,N31,N40
0.508202,N3,N19,N26,M2Q2
0.508202,N3,N18,N28,N33
0.508202,N2,N9,N19,N24
0.508202,N2,N6,N15,M1T3
0.508202,N2,N28,M2Q1,M2Q4
0.508202,N2,N27,N28,M2Q1
0.508202,N0,N30,N40,M2Q1
0.508202,N0,N15,N28,M0P1
0.508202,N0,N11,N17,N24
0.508201,N4,N6,N11,N12
0.508201,N4,N13,N35,N36
0.508201,N3,N18,N20,N26
0.508201,N3,N13,N27,M2Q1
0.508201,N3,N12,N38,M1T3
0.508201,N2,N7,N34,M0P1
0.508201,N2,N3,M2Q1,M2Q3
0.508201,N2,N36,N37,M2Q2
0.508201,N2,N25,N34,M1T3
0.508201,N0,N23,N30,M1T3
0.508201,N0,N16,N18,M0P2
0.508201,N0,N10,N33,M1T2
0.508200,N5,N35,M1T1,M1T2
0.508200,N5,N29,N35,M2Q3
0.508200,N4,N13,N34,M1T1
0.508200,N2,N18,N37,N40
0.508200,N2,N18,N26,M2Q3
0.508200,N2,N16,N26,M2Q3
0.508200,N2,N13,N14,N24
0.508200,N2,N13,M0P2,M2Q4
0.508200,N2,N11,N16,N31
0.508200,N0,N2,N34,M1T1
0.508199,N5,N22,N36,N39
0.508199,N3,N6,N9,N32
0.508199,N2,N30,N31,N37
0.508199,N2,N19,N28,M1T3
0.508199,N2,N10,N30,N36
0.508199,N0,N8,N33,N37
0.508199,N0,N7,N34,M2Q3
0.508199,N0,N6,N9,N37
0.508199,N0,N29,M0P1,M2Q3
0.508199,N0,N28,N29,N33
0.508199,N0,N20,N33,N40
0.508199,N0,N17,N22,N37
0.508199,N0,N10,N19,M2Q2
0.508198,N4,N13,N40,M0P1
0.508198,N3,N9,N28,N29
0.508198,N3,N8,N20,N34
0.508198,N3,N7,N27,N37
0.508198,N3,N30,N35,M1T3
0.508198,N3,N13,N33,M2Q4
0.508198,N2,N15,N18,M2Q3
0.508198,N0,N7,N11,N35
0.508198,N0,N6,N29,N40
0.508198,N0,N32,N37,M0P1
0.508198,N0,N26,N28,M0P1
0.508198,N0,N19,N26,M2Q2
0.508197,N5,N6,N19,N39
0.508197,N3,N4,N19,N33
0.508197,N3,N4,N12,M1T1
0.508197,N2,N18,N30,M0P1
0.508197,N2,N13,N24,N30
0.508197,N0,N7,N12,N16
0.508197,N0,N27,N28,M0P1
0.508197,N0,N15,N24,N36
0.508196,N4,N7,N35,M1T1
0.508196,N3,N8,N29,M0P2
0.508196,N3,N6,N11,N15
0.508196,N3,N27,N29,M2Q4
0.508196,N2,N19,M1T3,M2Q3
0.508196,N2,N13,N36,N37
0.508196,N2,N12,N16,N38
0.508196,N0,N28,M0P2,M1T2
0.508195,N5,N12,N31,M1T3
0.508195,N4,N6,N37,M0P2
0.508195,N3,N14,N35,M1T3
0.508195,N2,N7,M0P2,M2Q1
0.508195,N2,N6,N11,N13
0.508195,N2,N17,N29,M1T2
0.508195,N2,N11,N38,M1T2
0.508195,N1,N22,N37,M2Q2
0.508195,N0,N9,N15,N20
0.508194,N4,N20,N34,N40
0.508194,N4,N15,N36,M2Q2
0.508194,N3,N22,N28,M2Q4
0.508194,N2,N3,N18,N37
0.508194,N2,N3,N18,M2Q4
0.508194,N2,N15,N24,N28
0.508194,N0,N9,N17,M1T3
0.508194,N0,N3,N35,M0P1
0.508194,N0,N35,N38,M2Q2
0.508193,N3,N38,M0P2,M2Q1
0.508193,N2,N15,N40,M1T3
0.508193,N2,N13,N27,N31
0.508192,N3,N9,N18,N32
0.508192,N3,N37,N39,N40
0.508192,N3,N26,M0P2,M2Q3
0.508192,N0,N9,N18,N24
0.508192,N0,N4,N29,N37
0.508192,N0,N19,N31,M0P2
0.508192,N0,N19,N30,M2Q4
0.508192,N0,N13,N17,N35
0.508191,N5,N36,N40,M2Q2
0.508191,N4,N7,N35,N37
0.508191,N4,N6,N12,N20
0.508191,N4,N12,N34,M2Q1
0.508191,N3,N9,N19,N31
0.508191,N3,N8,N35,M2Q4
0.508191,N3,N6,N11,N29
0.508191,N3,N26,N31,M0P1
0.508191,N2,N3,N40,M0P1
0.508191,N2,N3,N15,N20
0.508191,N2,N27,N33,N36
0.508191,N2,N14,N20,N29
0.508191,N0,N9,N31,M2Q4
0.508191,N0,N32,N35,M0P1
0.508191,N0,N18,N19,M2Q2
0.508190,N4,N33,M2Q3,M2Q4
0.508190,N4,N12,N22,N34
0.508190,N3,N6,N18,M2Q4
0.508190,N3,N10,N29,M2Q2
0.508190,N2,N30,N37,M2Q2
0.508190,N2,N19,N24,M0P2
0.508190,N2,N16,N22,N37
0.508190,N0,N4,N31,N37
0.508190,N0,N35,N40,M1T1
0.508190,N0,N29,N32,N36
0.508190,N0,N22,N27,N34
0.508190,N0,N17,N26,M2Q2
0.508190,N0,N13,N18,N30
0.508189,N3,N4,N33,N37
0.508189,N3,N35,N40,M2Q2
0.508189,N3,N17,N24,M1T2
0.508189,N3,N14,M1T2,M2Q3
0.508189,N2,N8,N31,M1T3
0.508189,N2,N4,N6,M2Q1
0.508189,N2,N19,N27,N28
0.508189,N2,N13,N19,N34
0.508189,N2,N13,M1T1,M2Q4
0.508189,N2,N12,N31,N32
0.508189,N2,N12,N24,N32
0.508189,N0,N7,N15,N34
0.508189,N0,N5,N18,N30
0.508189,N0,N4,N33,M1T3
0.508189,N0,N3,N11,M2Q3
0.508188,N5,N34,N39,M1T3
0.508188,N5,N17,N31,M2Q2
0.508188,N3,N6,N9,N30
0.508188,N3,N6,N10,M2Q3
0.508188,N3,N14,N34,N37
0.508188,N0,N37,M0P2,M2Q3
0.508187,N5,N22,N34,M1T1
0.508187,N5,N11,N26,M2Q1
0.508187,N4,N18,N33,N37
0.508187,N3,N32,N33,N37
0.508187,N3,N22,N26,N34
0.508187,N3,N17,N20,N35
0.508187,N3,N15,N23,M1T3
0.508187,N3,N12,N18,N36
0.508187,N3,N10,N31,M0P2
0.508187,N2,N24,N32,M1T2
0.508187,N2,N18,N22,N30
0.508187,N0,N33,N34,N38
0.508186,N5,M0P2,M1T3,M2Q1
0.508186,N3,N33,N40,M2Q1
0.508186,N3,N26,N36,M2Q4
0.508186,N3,N10,N18,N32
0.508186,N3,N10,M2Q1,M2Q3
0.508186,N2,N9,N11,N27
0.508186,N2,N27,N39,M1T1
0.508186,N2,N19,N20,N31
0.508186,N2,N17,M0P1,M1T1
0.508186,N2,N14,N20,N36
0.508186,N2,N10,N29,M1T1
0.508186,N0,N3,N38,M1T2
0.508186,N0,N27,N30,N36
0.508185,N5,N7,N31,M2Q2
0.508185,N5,N26,N39,M0P1
0.508185,N4,N22,M1T1,M2Q3
0.508185,N3,N7,N13,N19
0.508185,N3,N4,N18,N20
0.508185,N3,N17,N30,M2Q2
0.508185,N2,N9,N11,N13
0.508185,N2,N4,N28,N31
0.508185,N2,N27,N40,M1T3
0.508185,N2,N22,N32,N40
0.508185,N0,N9,N38,M1T2
0.508185,N0,N8,N19,N31
0.508185,N0,N3,N17,N37
0.508185,N0,N11,N37,N38
0.508184,N5,N31,M0P1,M2Q3
0.508184,N3,N7,N15,M2Q1
0.508184,N3,N4,N7,N18
0.508184,N3,N20,N26,M2Q2
0.508184,N3,N16,N38,M0P1
0.508184,N2,N7,N11,M2Q4
0.508184,N2,N3,N7,M2Q1
0.508184,N2,N15,N22,N34
0.508184,N1,N24,N31,M2Q3
0.508184,N1,M1T3,M2Q2,M2Q3
0.508184,N0,N11,N37,M1T2
0.508183,N5,N6,N11,N20
0.508183,N4,N35,N37,M0P2
0.508183,N4,N31,N33,M1T1
0.508183,N4,N16,N33,M1T1
0.508183,N3,N31,N34,M1T2
0.508183,N3,N10,N40,M2Q4
0.508183,N2,N13,N29,M2Q2
0.508183,N2,N12,N23,N37
0.508183,N2,N10,N24,N40
0.508183,N0,N9,N16,M0P1
0.508183,N0,N7,N10,N16
0.508183,N0,N25,N35,M0P1
0.508183,N0,N18,N19,M0P2
0.508183,N0,N11,N13,M0P1
0.508182,N5,N8,N31,M2Q3
0.508182,N4,N7,N19,M0P1
0.508182,N3,N9,N17,M2Q2
0.508182,N3,N9,N12,N17
0.508182,N3,N10,N24,M0P1
0.508182,N2,N6,N28,N33
0.508182,N0,N7,N11,M0P2
0.508182,N0,N32,M0P2,M1T3
0.508182,N0,N24,N26,M0P1
0.508182,N0,N12,N35,N37
0.508182,N0,N11,N26,M2Q4
0.508181,N3,N6,N11,M1T2
0.508181,N3,N14,N18,M1T1
0.508181,N3,N10,N28,N31
0.508181,N2,N8,N22,N34
0.508181,N2,N5,N6,M1T2
0.508181,N2,N3,N12,N33
0.508181,N2,N15,N22,M2Q1
0.508181,N2,N10,N22,M2Q3
0.508181,N0,N9,N22,N34
0.508181,N0,N6,N32,M2Q2
0.508181,N0,N3,N13,M0P2
0.508181,N0,N20,N31,N36
0.508181,N0,N12,N33,N36
0.508180,N4,N22,N30,N39
0.508180,N4,N12,N22,N35
0.508180,N3,N18,N21,N38
0.508180,N3,N12,N19,M1T3
0.508180,N3,N10,N20,N35
0.508180,N3,N10,N18,N20
0.508180,N2,N10,N15,N36
0.508180,N0,N2,N13,N34
0.508180,N0,N19,N35,N37
0.508180,N0,N17,N28,M0P2
0.508180,N0,N13,N36,M2Q3
0.508180,N0,N13,N23,N26
0.508180,N0,N13,N18,N33
0.508180,N0,N12,N34,M1T2
0.508179,N3,N6,N9,N20
0.508179,N3,N29,N38,M1T2
0.508179,N3,N16,N17,N40
0.508179,N3,N12,N24,M0P1
0.508179,N2,N28,N33,N39
0.508179,N2,N24,N38,M1T1
0.508179,N2,N16,N24,M1T1
0.508179,N2,N10,N26,M2Q4
0.508179,N1,M1T1,M1T3,M2Q3
0.508179,N0,N7,N30,N39
0.508179,N0,N33,N38,M0P1
0.508179,N0,N26,N30,N34
0.508179,N0,N16,N34,M2Q3
0.508178,N4,N29,N33,M1T3
0.508178,N3,N7,N30,N39
0.508178,N3,N4,N7,N36
0.508178,N3,N4,N6,N11
0.508178,N3,N19,N37,M2Q4
0.508178,N2,N9,N17,M1T3
0.508178,N2,N6,N10,M2Q3
0.508178,N2,N25,M2Q1,M2Q2
0.508178,N1,N19,N33,M1T3
0.508178,N0,N22,N30,M1T2
0.508178,N0,N18,N38,N40
0.508177,N5,N6,N22,N34
0.508177,N4,N22,N34,N38
0.508177,N4,M1T3,M2Q1,M2Q2
0.508177,N3,N6,N38,M2Q4
0.508177,N3,N10,N19,N22
0.508177,N2,N20,N32,N33
0.508177,N1,N22,M1T2,M2Q4
0.508177,N0,N7,N10,N15
0.508177,N0,N27,N34,M2Q3
0.508177,N0,N17,N35,M2Q2
0.508176,N4,N16,N26,M2Q1
0.508176,N3,N7,N26,N36
0.508176,N3,N20,N36,N38
0.508176,N2,N18,N37,N39
0.508176,N2,N10,N29,M2Q3
0.508176,N0,N10,N13,N29
0.508175,N5,N26,N31,M1T3
0.508175,N3,N14,N30,N39
0.508175,N2,N11,N26,M1T1
0.508175,N0,N7,N38,M2Q3
0.508175,N0,N7,N13,N32
0.508175,N0,N32,N40,M1T2
0.508175,N0,N26,N31,M0P1
0.508175,N0,N12,N13,N36
0.508174,N5,N30,M0P1,M2Q2
0.508174,N3,N9,N20,N38
0.508174,N3,N11,N40,M1T1
0.508174,N2,N9,N27,N38
0.508174,N2,N8,N37,M0P1
0.508174,N2,N7,N13,N29
0.508174,N2,N13,N26,M2Q1
0.508174,N0,N9,N24,N36
0.508174,N0,N12,N16,N22
0.508174,N0,N10,N13,M2Q4
0.508173,N3,N8,N38,M2Q4
0.508173,N3,N4,N18,M1T2
0.508173,N3,N27,N40,M2Q3
0.508173,N3,N17,N40,M2Q2
0.508173,N3,N16,N27,M1T2
0.508173,N2,N7,N13,M0P2
0.508173,N2,N27,M1T3,M2Q2
0.508173,N2,N15,M0P1,M2Q2
0.508172,N4,N33,M0P1,M1T1
0.508172,N3,N19,N29,M2Q1
0.508172,N2,N8,N39,M1T1
0.508172,N2,N10,N11,M2Q2
0.508172,N0,N26,N35,M2Q3
0.508172,N0,N22,N39,M0P1
0.508172,N0,N20,N22,N38
0.508171,N5,N34,M1T3,M2Q1
0.508171,N4,N7,N15,M0P2
0.508171,N4,N35,M0P2,M1T1
0.508171,N4,N32,N34,N36
0.508171,N4,N13,N22,N33
0.508171,N4,N11,N22,M1T1
0.508171,N2,N8,N9,N18
0.508171,N0,N8,N18,N39
0.508171,N0,N19,N28,N34
0.508170,N4,N7,N22,N31
0.508170,N4,N7,N12,N35
0.508170,N4,N18,N24,N31
0.508170,N3,N4,N10,M1T1
0.508170,N3,N28,N36,N37
0.508170,N3,N28,N34,M0P2
0.508170,N2,N5,N31,M1T3
0.508170,N2,N22,N29,N39
0.508170,N0,N9,N28,N34
0.508170,N0,N27,N33,N36
0.508170,N0,N25,M1T3,M2Q2
0.508170,N0,N18,N29,M0P1
0.508169,N5,N6,M2Q3,M2Q4
0.508169,N3,N8,N40,M1T1
0.508169,N3,N6,N22,M1T1
0.508169,N3,N32,N40,M2Q4
0.508169,N3,N14,N34,M2Q3
0.508169,N2,N9,N30,M2Q4
0.508169,N2,N3,N22,N39
0.508169,N2,N35,N40,M0P2
0.508169,N2,N20,M1T3,M2Q2
0.508169,N0,N2,N6,N36
0.508169,N0,N17,N18,N35
0.508169,N0,N10,N26,N33
0.508168,N5,N14,N18,M1T3
0.508168,N3,N34,N35,M0P1
0.508168,N3,N11,N22,N33
0.508168,N2,N4,N39,M2Q2
0.508168,N2,N24,N26,N34
0.508168,N2,N13,N39,M0P1
0.508168,N0,N8,N9,N33
0.508168,N0,N27,M0P1,M2Q3
0.508167,N4,N36,M0P2,M1T3
0.508167,N3,N6,N28,N37
0.508167,N3,N28,N39,M2Q1
0.508167,N3,N27,N31,N37
0.508167,N3,N19,N37,N38
0.508167,N2,N7,N15,N28
0.508167,N2,N4,N33,M2Q2
0.508167,N2,N23,M1T2,M1T3
0.508167,N2,N18,N29,N38
0.508167,N2,N12,N24,N27
0.508167,N1,N18,N29,N40
0.508167,N1,N18,N22,M1T1
0.508167,N0,N6,M2Q2,M2Q3
0.508167,N0,N28,N39,M2Q1
0.508167,N0,N17,N31,M1T2
0.508166,N4,N18,N31,N32
0.508166,N3,N8,N36,N39
0.508166,N2,N12,N17,N28
0.508166,N0,N6,N31,N40
0.508166,N0,N2,N40,M2Q1
0.508166,N0,N26,N29,M1T1
0.508166,N0,N1,N22,N37
0.508166,N0,N15,M0P1,M2Q3
0.508166,N0,N14,N18,M1T2
0.508166,N0,N13,N28,N38
0.508166,N0,N12,N36,M0P2
0.508166,N0,N11,N24,M2Q2
0.508165,N3,N32,N40,M1T2
0.508165,N3,N32,N38,M1T2
0.508165,N3,N10,N37,M0P1
0.508165,N2,N7,N26,M1T2
0.508165,N2,N18,N24,N32
0.508165,N2,N17,N37,M2Q3
0.508165,N0,N6,N34,M1T2
0.508165,N0,N4,N18,N39
0.508165,N0,N19,N32,N37
0.508165,N0,N15,N37,M1T3
0.508164,N5,N24,N33,M1T3
0.508164,N4,M1T1,M2Q3,M2Q4
0.508164,N3,N15,N22,M2Q4
0.508164,N2,N23,N35,N37
0.508164,N1,N7,N22,N36
0.508164,N1,N6,N11,M1T3
0.508164,N0,N9,N14,M1T3
0.508164,N0,N6,N9,N20
0.508164,N0,N2,N26,M0P2
0.508164,N0,N26,N28,M1T1
0.508164,N0,N24,N40,M2Q4
0.508164,N0,N17,N22,M1T2
0.508163,N4,N31,M1T2,M2Q1
0.508163,N3,N4,N15,M2Q1
0.508163,N3,N32,M0P1,M1T2
0.508163,N2,N34,N36,M2Q4
0.508163,N2,N28,N33,M0P2
0.508163,N2,N28,M1T2,M2Q3
0.508163,N2,N15,N18,N37
0.508163,N2,N13,N28,M2Q4
0.508163,N0,N32,N37,N39
0.508163,N0,N22,N24,M2Q1
0.508163,N0,N11,N29,N40
0.508162,N5,N13,M1T2,M1T3
0.508162,N4,N22,N34,M2Q2
0.508162,N4,N22,N33,M1T3
0.508162,N4,N20,N37,M0P2
0.508162,N3,N4,N37,M0P2
0.508162,N3,N23,N33,M2Q2
0.508162,N2,N7,N28,N35
0.508162,N2,N15,N40,M2Q1
0.508162,N2,N13,N37,M2Q2
0.508162,N2,N12,N26,N27
0.508162,N0,N9,N39,M1T1
0.508162,N0,N7,N20,N24
0.508162,N0,N3,N11,M0P2
0.508162,N0,N26,N40,M0P1
0.508162,N0,N17,M1T1,M2Q1
0.508162,N0,N10,N36,N38
0.508161,N5,N22,M1T2,M2Q4
0.508161,N4,N7,N29,N31
0.508161,N4,N11,N18,N30
0.508161,N3,N15,N36,M1T2
0.508161,N3,N13,N18,M0P1
0.508161,N2,N9,N24,N35
0.508161,N2,N24,N38,M2Q3
0.508161,N2,N16,N20,N26
0.508161,N0,N9,N29,M1T2
0.508160,N5,N6,N22,M1T2
0.508160,N4,N24,M0P1,M1T3
0.508160,N3,N4,N13,M1T2
0.508160,N3,N30,N38,M2Q4
0.508160,N3,N20,N26,N29
0.508160,N3,N14,M1T1,M2Q1
0.508160,N2,N3,N12,M2Q1
0.508160,N2,N36,M0P1,M2Q2
0.508160,N2,N31,N35,M0P1
0.508160,N0,N9,N39,M2Q3
0.508160,N0,N9,M2Q2,M2Q4
0.508160,N0,N12,N35,M2Q4
0.508159,N4,N36,N38,M0P1
0.508159,N4,N12,N18,M0P1
0.508159,N2,N6,N7,N9
0.508159,N2,N4,N17,M2Q2
0.508159,N0,N2,N27,M1T3
0.508159,N0,N15,N39,M1T3
0.508159,N0,N14,N22,M1T2
0.508158,N5,N26,N34,M1T3
0.508158,N5,N20,N29,N30
0.508158,N4,N34,N39,M1T3
0.508158,N3,N6,N12,N24
0.508158,N3,N28,M1T3,M2Q1
0.508158,N3,N22,M2Q1,M2Q4
0.508158,N3,N19,N27,M1T3
0.508158,N3,N18,N23,M1T2
0.508158,N3,N18,N22,N37
0.508158,N2,N35,M1T3,M2Q3
0.508158,N2,N32,N40,M1T1
0.508158,N2,N17,M1T1,M1T3
0.508158,N2,N12,N34,M2Q4
0.508158,N0,N8,N29,N37
0.508158,N0,N20,N23,N34
0.508157,N5,N14,N33,M1T3
0.508157,N4,N16,N18,M1T3
0.508157,N3,N7,N18,N37
0.508157,N3,N22,N40,M0P1
0.508157,N3,N12,N17,N31
0.508157,N3,N10,N37,M2Q4
0.508157,N3,N10,N26,M1T2
0.508157,N2,N9,N22,N38
0.508157,N2,N7,M0P2,M1T2
0.508157,N2,N3,N18,N31
0.508157,N2,N20,N32,M2Q2
0.508157,N2,N13,N20,M2Q1
0.508157,N2,N13,N17,M2Q4
0.508157,N0,N9,N12,N24
0.508157,N0,N7,N37,N38
0.508156,N5,N22,N39,M2Q3
0.508156,N5,N11,N20,M1T3
0.508156,N4,N31,N39,M1T3
0.508156,N4,N12,N39,M1T1
0.508156,N3,N7,N24,N31
0.508156,N3,N34,N36,M2Q4
0.508156,N3,N26,N35,M2Q4
0.508156,N3,N22,N24,N34
0.508156,N3,N14,M0P1,M2Q3
0.508156,N3,N10,N40,M0P1
0.508156,N2,N20,N26,M1T1
0.508156,N2,N14,N24,N39
0.508156,N1,N19,N20,N29
0.508156,N0,N2,N15,N36
0.508156,N0,N24,N31,M0P1
0.508156,N0,N11,N16,N18
0.508155,N4,N7,N24,M2Q2
0.508155,N4,N6,N31,M2Q4
0.508155,N4,N16,N18,N20
0.508155,N3,N9,N10,N31
0.508155,N3,N12,N27,M1T2
0.508155,N3,N12,N19,N39
0.508155,N3,N10,N11,M2Q4
0.508155,N2,N6,N17,N20
0.508155,N2,N5,N11,N31
0.508155,N2,N10,N40,M2Q4
0.508155,N2,N10,N11,N20
0.508155,N1,N22,M1T1,M2Q3
0.508155,N1,N13,N18,M2Q3
0.508155,N1,N11,N18,N28
0.508155,N0,N9,N37,M0P2
0.508155,N0,N30,N33,N39
0.508155,N0,N18,N19,N28
0.508155,N0,N12,N22,N26
0.508155,N0,N11,N13,N18
0.508154,N4,N18,N35,N39
0.508154,N4,N18,N19,N26
0.508154,N3,N7,N39,M2Q1
0.508154,N3,N38,N40,M2Q2
0.508154,N3,N29,N30,N40
0.508154,N3,N26,N37,M1T1
0.508154,N2,N7,N14,M2Q3
0.508154,N2,N3,N4,M2Q2
0.508154,N2,N27,N28,M0P2
0.508154,N2,N23,N36,M2Q3
0.508154,N2,N13,N20,N32
0.508154,N2,N12,N26,N37
0.508154,N0,N17,N20,N22
0.508154,N0,N12,N33,M2Q1
0.508153,N4,N18,N25,M1T3
0.508153,N3,N31,N35,N36
0.508153,N1,N10,M1T2,M2Q2
0.508153,N0,N7,N30,N40
0.508152,N4,N18,N31,N38
0.508152,N2,N8,N35,M2Q4
0.508152,N2,N29,N36,N38
0.508152,N2,N27,N28,M0P1
0.508152,N2,N26,N34,M1T2
0.508152,N0,N9,N16,M1T1
0.508152,N0,N7,N11,N20
0.508152,N0,N2,N11,N17
0.508152,N0,N14,N22,M1T1
0.508151,N3,N27,N36,M2Q2
0.508151,N2,N9,N19,N40
0.508151,N2,N17,N28,M0P2
0.508151,N0,N9,N11,N34
0.508151,N0,N7,N19,N33
0.508151,N0,N4,N34,M2Q2
0.508150,N5,N20,N31,M1T3
0.508150,N5,N12,N22,N39
0.508150,N4,N22,N37,M2Q1
0.508150,N3,N7,N22,N35
0.508150,N3,N27,N29,M2Q2
0.508150,N3,N22,N30,N36
0.508150,N3,N22,N29,N32
0.508150,N3,N12,N25,N39
0.508150,N3,N10,N14,M1T3
0.508150,N2,N34,N36,N38
0.508150,N2,N15,N37,M2Q1
0.508150,N0,N9,N12,N13
0.508150,N0,N37,M2Q1,M2Q2
0.508149,N4,N11,N12,M1T3
0.508149,N3,N4,N37,M1T1
0.508149,N3,N26,N28,M1T3
0.508149,N3,N23,N31,M1T3
0.508149,N2,N7,N10,M0P2
0.508149,N2,N6,N27,N34
0.508149,N2,N4,N12,N33
0.508149,N2,N17,N35,N36
0.508149,N1,N29,N40,M2Q4
0.508149,N0,N3,N24,N40
0.508149,N0,N20,N22,N40
0.508148,N4,N27,N35,M2Q4
0.508148,N3,N6,N38,M0P1
0.508148,N3,N10,N40,M1T2
0.508148,N0,N34,N35,N40
0.508148,N0,N22,N33,N35
0.508148,N0,N15,N22,N34
0.508147,N5,N9,N12,M0P1
0.508147,N3,N7,N20,M1T2
0.508147,N3,N37,N39,M2Q3
0.508147,N3,N12,M0P2,M2Q1
0.508147,N2,N9,N10,N40
0.508147,N2,N6,N19,N36
0.508147,N2,N5,N22,M2Q2
0.508147,N2,N4,N18,N31
0.508147,N2,N3,N13,N19
0.508147,N2,N17,N34,M2Q3
0.508147,N2,N12,N14,N37
0.508147,N2,N11,N26,N36
0.508147,N1,N2,M2Q2,M2Q3
0.508147,N1,N19,N24,N37
0.508147,N0,N17,N34,M0P1
0.508147,N0,N11,N35,N39
0.508146,N5,N12,N20,N35
0.508146,N5,N12,N19,N39
0.508146,N2,N6,N19,N24
0.508146,N2,N4,N24,N36
0.508146,N0,N7,N12,N39
0.508146,N0,N34,N35,N37
0.508145,N4,N7,N20,M1T1
0.508145,N4,N19,M1T2,M1T3
0.508145,N3,N38,N39,N40
0.508145,N3,N24,N29,N30
0.508145,N2,N3,N7,M2Q2
0.508145,N2,N10,N29,N33
0.508145,N0,N3,N19,M2Q3
0.508145,N0,N2,N3,N29
0.508144,N4,N18,N40,M0P2
0.508144,N4,N13,N40,M2Q4
0.508144,N3,N8,N20,N31
0.508144,N3,N8,N16,M1T3
0.508144,N3,N7,M2Q3,M2Q4
0.508144,N3,N26,N35,N40
0.508144,N2,N10,N12,M1T3
0.508144,N0,N7,N8,M2Q2
0.508143,N3,N7,N10,N20
0.508143,N3,N6,N36,M0P1
0.508143,N0,N6,N29,N32
0.508143,N0,N20,N26,N31
0.508142,N3,N11,N17,M1T3
0.508142,N2,N9,M2Q1,M2Q4
0.508142,N2,N6,N31,M0P1
0.508142,N0,N3,N31,M0P1
0.508142,N0,N12,N24,M1T2
0.508142,N0,N12,N16,M2Q2
0.508141,N4,N26,N35,M1T3
0.508141,N4,N24,N29,M2Q4
0.508141,N3,N6,N29,M0P1
0.508141,N3,N32,M0P2,M1T1
0.508141,N3,N23,N29,N36
0.508141,N3,N12,N18,M0P1
0.508141,N2,N7,N12,N29
0.508141,N2,N3,N28,N35
0.508141,N2,N26,N30,N33
0.508141,N2,N19,N24,N34
0.508141,N2,N15,N34,M2Q1
0.508141,N2,N10,N13,N36
0.508141,N1,N2,N29,M2Q2
0.508141,N1,N29,N31,M2Q2
0.508141,N0,N19,M0P1,M2Q1
0.508141,N0,N16,N26,M2Q1
0.508141,N0,N12,N32,N36
0.508141,N0,N10,N32,M1T3
0.508140,N5,N22,N34,M2Q2
0.508140,N3,N4,N28,N36
0.508140,N3,N15,N35,M1T2
0.508140,N3,N13,N15,M2Q4
0.508140,N3,N12,N28,N30
0.508140,N2,N17,N20,M2Q2
0.508140,N0,N2,N11,N28
0.508140,N0,N15,N29,N33
0.508140,N0,N14,N22,M2Q4
0.508139,N3,N4,N10,N33
0.508139,N3,N38,M0P2,M1T1
0.508139,N3,N11,N18,M1T2
0.508139,N0,N9,N19,N20
0.508139,N0,N9,N12,N22
0.508139,N0,N2,N17,M2Q3
0.508138,N5,N18,N35,M1T2
0.508138,N3,N22,N30,N35
0.508138,N3,N20,N30,M2Q3
0.508138,N3,N14,N26,M1T2
0.508138,N3,N11,N40,M2Q1
0.508138,N2,N32,N33,N34
0.508138,N0,N14,N19,M0P1
0.508138,N0,N11,N31,N33
