id,name,order,input type
N7M1T1M1T2M1T3_Beta,N7M1T1M1T2M1T3_Beta,4,Beta
M0P1M1T1_Beta,M0P1M1T1_Beta,4,Beta
M0P1M1T1M1T2_Beta,M0P1M1T1M1T2_Beta,4,Beta
M0P1M1T1M1T2M1T3_Beta,M0P1M1T1M1T2M1T3_Beta,4,Beta
N2M0P1_Beta,N2M0P1_Beta,4,Beta
N2M0P1M0P2_Beta,N2M0P1M0P2_Beta,4,Beta
N2M0P1M0P2M2Q3_Beta,N2M0P1M0P2M2Q3_Beta,4,Beta
N19_Beta,N19_Beta,4,Beta
N19M1T1_Beta,N19M1T1_Beta,4,Beta
N19M1T1M1T2_Beta,N19M1T1M1T2_Beta,4,Beta
N19M1T1M1T2M1T3_Beta,N19M1T1M1T2M1T3_Beta,4,Beta
N39_Beta,N39_Beta,4,Beta
N39M1T1_Beta,N39M1T1_Beta,4,Beta
N39M1T1M1T2_Beta,N39M1T1M1T2_Beta,4,Beta
N39M1T1M1T2M1T3_Beta,N39M1T1M1T2M1T3_Beta,4,Beta
N33_Beta,N33_Beta,4,Beta
N33M1T1_Beta,N33M1T1_Beta,4,Beta
N33M1T1M1T2_Beta,N33M1T1M1T2_Beta,4,Beta
N33M1T1M1T2M1T3_Beta,N33M1T1M1T2M1T3_Beta,4,Beta
N22M0P1_Beta,N22M0P1_Beta,4,Beta
N22M0P1M0P2_Beta,N22M0P1M0P2_Beta,4,Beta
N22M0P1M0P2M1T2_Beta,N22M0P1M0P2M1T2_Beta,4,Beta
N36M0P1_Beta,N36M0P1_Beta,4,Beta
N36M0P1M0P2_Beta,N36M0P1M0P2_Beta,4,Beta
N36M0P1M0P2M2Q3_Beta,N36M0P1M0P2M2Q3_Beta,4,Beta
N6_Beta,N6_Beta,4,Beta
N6M1T1_Beta,N6M1T1_Beta,4,Beta
N6M1T1M1T2_Beta,N6M1T1M1T2_Beta,4,Beta
N6M1T1M1T2M1T3_Beta,N6M1T1M1T2M1T3_Beta,4,Beta
N30_Beta,N30_Beta,4,Beta
N30M1T1_Beta,N30M1T1_Beta,4,Beta
N30M1T1M1T2_Beta,N30M1T1M1T2_Beta,4,Beta
N30M1T1M1T2M1T3_Beta,N30M1T1M1T2M1T3_Beta,4,Beta
N26N29_Beta,N26N29_Beta,4,Beta
N26N29M0P1_Beta,N26N29M0P1_Beta,4,Beta
N26N29M0P1M0P2_Beta,N26N29M0P1M0P2_Beta,4,Beta
N20N29_Beta,N20N29_Beta,4,Beta
N20N29M0P1_Beta,N20N29M0P1_Beta,4,Beta
N20N29M0P1M0P2_Beta,N20N29M0P1M0P2_Beta,4,Beta
N38M1T1_Beta,N38M1T1_Beta,4,Beta
N38M1T1M1T2_Beta,N38M1T1M1T2_Beta,4,Beta
N38M1T1M1T2M1T3_Beta,N38M1T1M1T2M1T3_Beta,4,Beta
N32_Beta,N32_Beta,4,Beta
N32M1T1_Beta,N32M1T1_Beta,4,Beta
N32M1T1M1T2_Beta,N32M1T1M1T2_Beta,4,Beta
N32M1T1M1T2M1T3_Beta,N32M1T1M1T2M1T3_Beta,4,Beta
N0_Beta,N0_Beta,4,Beta
N0M1T1_Beta,N0M1T1_Beta,4,Beta
N0M1T1M1T2_Beta,N0M1T1M1T2_Beta,4,Beta
N0M1T1M1T2M1T3_Beta,N0M1T1M1T2M1T3_Beta,4,Beta
N0N36_Beta,N0N36_Beta,4,Beta
N0N36M0P1_Beta,N0N36M0P1_Beta,4,Beta
N0N36M0P1M0P2_Beta,N0N36M0P1M0P2_Beta,4,Beta
N2N22_Beta,N2N22_Beta,4,Beta
N2N22M0P1_Beta,N2N22M0P1_Beta,4,Beta
N2N22M0P1M0P2_Beta,N2N22M0P1M0P2_Beta,4,Beta
N2M0P1M0P2M1T2_Beta,N2M0P1M0P2M1T2_Beta,4,Beta
N5M1T1_Beta,N5M1T1_Beta,4,Beta
N5M1T1M1T2_Beta,N5M1T1M1T2_Beta,4,Beta
N5M1T1M1T2M1T3_Beta,N5M1T1M1T2M1T3_Beta,4,Beta
N6N22_Beta,N6N22_Beta,4,Beta
N6N22M0P1_Beta,N6N22M0P1_Beta,4,Beta
N6N22M0P1M0P2_Beta,N6N22M0P1M0P2_Beta,4,Beta
N2M0P1M0P2M2Q1_Beta,N2M0P1M0P2M2Q1_Beta,4,Beta
N4M1T1_Beta,N4M1T1_Beta,4,Beta
N4M1T1M1T2_Beta,N4M1T1M1T2_Beta,4,Beta
N4M1T1M1T2M1T3_Beta,N4M1T1M1T2M1T3_Beta,4,Beta
N2N18_Beta,N2N18_Beta,4,Beta
N2N18M0P1_Beta,N2N18M0P1_Beta,4,Beta
N2N18M0P1M0P2_Beta,N2N18M0P1M0P2_Beta,4,Beta
N2N24_Beta,N2N24_Beta,4,Beta
N2N24M0P1_Beta,N2N24M0P1_Beta,4,Beta
N2N24M0P1M0P2_Beta,N2N24M0P1M0P2_Beta,4,Beta
N0M0P1_Beta,N0M0P1_Beta,4,Beta
N0M0P1M0P2_Beta,N0M0P1M0P2_Beta,4,Beta
N0M0P1M0P2M1T2_Beta,N0M0P1M0P2M1T2_Beta,4,Beta
N2N34_Beta,N2N34_Beta,4,Beta
N2N34M0P1_Beta,N2N34M0P1_Beta,4,Beta
N2N34M0P1M0P2_Beta,N2N34M0P1M0P2_Beta,4,Beta
N6N38_Beta,N6N38_Beta,4,Beta
N6N38M0P1_Beta,N6N38M0P1_Beta,4,Beta
N6N38M0P1M0P2_Beta,N6N38M0P1M0P2_Beta,4,Beta
N0N28_Beta,N0N28_Beta,4,Beta
N0N28M0P1_Beta,N0N28M0P1_Beta,4,Beta
N0N28M0P1M0P2_Beta,N0N28M0P1M0P2_Beta,4,Beta
N0N24_Beta,N0N24_Beta,4,Beta
N0N24M0P1_Beta,N0N24M0P1_Beta,4,Beta
N0N24M0P1M0P2_Beta,N0N24M0P1M0P2_Beta,4,Beta
N2N28_Beta,N2N28_Beta,4,Beta
N2N28M0P1_Beta,N2N28M0P1_Beta,4,Beta
N2N28M0P1M0P2_Beta,N2N28M0P1M0P2_Beta,4,Beta
N2N29_Beta,N2N29_Beta,4,Beta
N2N29M0P1_Beta,N2N29M0P1_Beta,4,Beta
N2N29M0P1M0P2_Beta,N2N29M0P1M0P2_Beta,4,Beta
N0M0P1M0P2M2Q3_Beta,N0M0P1M0P2M2Q3_Beta,4,Beta
N1_Beta,N1_Beta,4,Beta
N1M1T1_Beta,N1M1T1_Beta,4,Beta
N1M1T1M1T2_Beta,N1M1T1M1T2_Beta,4,Beta
N1M1T1M1T2M1T3_Beta,N1M1T1M1T2M1T3_Beta,4,Beta
N0N38_Beta,N0N38_Beta,4,Beta
N0N38M0P1_Beta,N0N38M0P1_Beta,4,Beta
N0N38M0P1M0P2_Beta,N0N38M0P1M0P2_Beta,4,Beta
N3M0P1_Beta,N3M0P1_Beta,4,Beta
N3M0P1M0P2_Beta,N3M0P1M0P2_Beta,4,Beta
N3M0P1M0P2M1T2_Beta,N3M0P1M0P2M1T2_Beta,4,Beta
N0N22_Beta,N0N22_Beta,4,Beta
N0N22M0P1_Beta,N0N22M0P1_Beta,4,Beta
N0N22M0P1M0P2_Beta,N0N22M0P1M0P2_Beta,4,Beta
N0N37_Beta,N0N37_Beta,4,Beta
N0N37M0P1_Beta,N0N37M0P1_Beta,4,Beta
N0N37M0P1M0P2_Beta,N0N37M0P1M0P2_Beta,4,Beta
N2N38_Beta,N2N38_Beta,4,Beta
N2N38M0P1_Beta,N2N38M0P1_Beta,4,Beta
N2N38M0P1M0P2_Beta,N2N38M0P1M0P2_Beta,4,Beta
N2N31_Beta,N2N31_Beta,4,Beta
N2N31M0P1_Beta,N2N31M0P1_Beta,4,Beta
N2N31M0P1M0P2_Beta,N2N31M0P1M0P2_Beta,4,Beta
N3M0P1M0P2M2Q1_Beta,N3M0P1M0P2M2Q1_Beta,4,Beta
N0N31_Beta,N0N31_Beta,4,Beta
N0N31M0P1_Beta,N0N31M0P1_Beta,4,Beta
N0N31M0P1M0P2_Beta,N0N31M0P1M0P2_Beta,4,Beta
N3N24_Beta,N3N24_Beta,4,Beta
N3N24M0P1_Beta,N3N24M0P1_Beta,4,Beta
N3N24M0P1M0P2_Beta,N3N24M0P1M0P2_Beta,4,Beta
N2N36_Beta,N2N36_Beta,4,Beta
N2N36M0P1_Beta,N2N36M0P1_Beta,4,Beta
N2N36M0P1M0P2_Beta,N2N36M0P1M0P2_Beta,4,Beta
N0N30_Beta,N0N30_Beta,4,Beta
N0N30M0P1_Beta,N0N30M0P1_Beta,4,Beta
N0N30M0P1M0P2_Beta,N0N30M0P1M0P2_Beta,4,Beta
N2N12_Beta,N2N12_Beta,4,Beta
N2N12M0P1_Beta,N2N12M0P1_Beta,4,Beta
N2N12M0P1M0P2_Beta,N2N12M0P1M0P2_Beta,4,Beta
N2N20_Beta,N2N20_Beta,4,Beta
N2N20M0P1_Beta,N2N20M0P1_Beta,4,Beta
N2N20M0P1M0P2_Beta,N2N20M0P1M0P2_Beta,4,Beta
N0M0P1M0P2M2Q1_Beta,N0M0P1M0P2M2Q1_Beta,4,Beta
N6N18_Beta,N6N18_Beta,4,Beta
N6N18M0P1_Beta,N6N18M0P1_Beta,4,Beta
N6N18M0P1M0P2_Beta,N6N18M0P1M0P2_Beta,4,Beta
N2N26_Beta,N2N26_Beta,4,Beta
N2N26M0P1_Beta,N2N26M0P1_Beta,4,Beta
N2N26M0P1M0P2_Beta,N2N26M0P1M0P2_Beta,4,Beta
N6M0P1_Beta,N6M0P1_Beta,4,Beta
N6M0P1M0P2_Beta,N6M0P1M0P2_Beta,4,Beta
N6M0P1M0P2M2Q1_Beta,N6M0P1M0P2M2Q1_Beta,4,Beta
